company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,68.3
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,60.8
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,63.3
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.0
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
ABB,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.9
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,64.7
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,64.7
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64.0
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.9
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,68.5
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.8
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.0
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87.2
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,83.0
ADANIGREEN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64.6
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.7
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIPORTS,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66.6
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,61.1
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,65.6
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,65.0
ADANIPOWER,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78.3
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,64.8
AMBUJACEM,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,60.0
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,68.1
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,66.1
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67.5
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.5
APOLLOHOSP,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,62.3
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,60.1
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91.0
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,62.1
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,63.0
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.2
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.1
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,61.9
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,60.5
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,64.8
ATGL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62.8
ATGL,con,FALLBACK-CON,"No single metric triggers a high-confidence concern, but leverage relative to peers is worth monitoring",45.0
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,64.8
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,69.8
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.0
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,84.9
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,67.4
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,60.6
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
